pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,22,3,91,3,,,,,310.3026040997356,311.30307290004566,311.30307290004566,311.30307290004566,311.30307290004566,311.30307290004566,312.30392930004746,312.30392930004746,z,1,0.7978540002368391,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-50,x,23,0,92,0,,,,,313.12065199995413,314.1208310998045,314.1208310998045,314.1208310998045,314.1208310998045,314.1208310998045,315.1216679997742,315.1216679997742,x,1,1.517196100205183,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
150,v,23,1,93,1,,,,,316.672250200063,317.65541929984465,317.65541929984465,317.65541929984465,317.65541929984465,317.67262869980186,318.6558445999399,318.6558445999399,v,1,1.1344137000851333,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
50,c,23,2,94,2,,,,,319.80677499994636,320.80664739990607,320.80664739990607,320.80664739990607,320.80664739990607,320.80664739990607,321.80696639977396,321.80696639977396,c,1,0.832926600240171,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-150,z,23,3,95,3,,,,,322.6573589001782,323.65785649977624,323.65785649977624,323.65785649977624,323.65785649977624,323.65785649977624,324.6586662000045,324.6586662000045,z,1,0.44124900037422776,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-50,x,24,0,96,0,,,,,325.1254567001015,326.10916469991207,326.10916469991207,326.10916469991207,326.10916469991207,326.12583350017667,327.10898690018803,327.10898690018803,x,1,0.7041095998138189,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
150,v,24,1,97,1,,,,,327.84271960007027,328.84355650004,328.84355650004,328.84355650004,328.84355650004,328.84355650004,329.8265806999989,329.8265806999989,v,1,0.6967393001541495,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
50,c,24,2,98,2,,,,,330.5436328998767,331.5445471997373,331.5445471997373,331.5445471997373,331.5445471997373,331.5445471997373,332.5282641998492,332.5282641998492,c,1,0.7637403002008796,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-150,z,24,3,99,3,,,,,333.3118913997896,334.3117169998586,334.3117169998586,334.3117169998586,334.3117169998586,334.3117169998586,335.3121898001991,335.3121898001991,z,1,0.5670895003713667,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-50,x,25,0,100,0,,,,,335.8956259000115,336.8965823999606,336.8965823999606,336.8965823999606,336.8965823999606,336.8965823999606,337.8802841999568,337.8802841999568,x,1,0.39207200054079294,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
